"name","n_sections","n_groups","n_students","module_start_index","module_end_index"
"TC-MI","2","14","25","8","16"
"L2-INFO","1","9","23","24","29"
"L3-INFO","1","7","22","37","44"
"L2-MATH","1","2","22","51","58"
"L3-MATH","1","2","22","64","69"
"M1-ISI","1","4","22","76","84"
"M1-R̩Sys","1","1","22","97","105"
"M1-AF","1","1","22","111","119"
"M1-MCO","1","1","23","119","127"
"TC-SM","1","4","22","127","132"
"L2-PHYS","1","1","21","132","137"
"L3-PHYS","1","1","22","137","141"
"L2-CHIM","1","2","22","141","148"
"L3-CHIM","1","2","22","148","154"
"M1-PM","1","1","21","154","159"